timestamp,pricepermwh,inrpriceperkwh
1507939200,27.41,1.9187
1507942800,26.4,1.848
1507946400,26.17,1.8319
1507950000,26.1,1.827
1507953600,28,1.96
1507957200,33.99,2.3793
1507960800,39.42,2.7594
1507964400,35.95,2.5165
1507968000,28.04,1.9628
1507971600,22.86,1.6002
1507975200,26.07,1.8249
1507978800,12.67,0.8869
1507982400,13.31,0.9317
1507986000,26.42,1.8494
1507989600,31.44,2.2008
1507993200,40.02,2.8014
1507996800,49.71,3.4797
1508000400,52.51,3.6757
1508004000,43.97,3.0779
1508007600,40.03,2.8021
1508011200,39.07,2.7349
1508014800,31.43,2.2001
1508018400,34.26,2.3982
1508022000,31.56,2.2092
